dataset,method,cost,valid,diversity,dpp,manifold_dist,likelihood,feasible
German,FRPD-QUAD,1.06 $\pm$ 0.05,\textbf{1.00} $\pm$ 0.00,\textbf{1.47} $\pm$ 0.03,0.64 $\pm$ 0.01,\textbf{0.02} $\pm$ 0.00,\textbf{-1356.05} $\pm$ 27.32,1.00
,DICE,\textbf{0.39} $\pm$ 0.34,\textbf{1.00} $\pm$ 0.00,\textbf{0.61} $\pm$ 0.57,\textbf{0.49} $\pm$ 0.24,0.09 $\pm$ 0.07,\textbf{-1249.41} $\pm$ 295.48,1.00
SBA,FRPD-QUAD,0.81 $\pm$ 0.27,\textbf{1.00} $\pm$ 0.00,\textbf{1.22} $\pm$ 0.31,0.54 $\pm$ 0.11,\textbf{0.03} $\pm$ 0.01,\textbf{-1587.89} $\pm$ 220.58,1.00
,DICE,\textbf{0.61} $\pm$ 0.32,0.95 $\pm$ 0.23,\textbf{0.48} $\pm$ 0.40,\textbf{0.46} $\pm$ 0.22,0.53 $\pm$ 0.28,\textbf{-1901.57} $\pm$ 689.21,1.00
Student,FRPD-QUAD,1.24 $\pm$ 0.39,\textbf{1.00} $\pm$ 0.00,\textbf{1.79} $\pm$ 0.50,0.66 $\pm$ 0.11,\textbf{0.24} $\pm$ 0.04,\textbf{-1167.87} $\pm$ 131.08,1.00
,DICE,\textbf{0.38} $\pm$ 0.18,0.50 $\pm$ 0.50,\textbf{0.49} $\pm$ 0.26,\textbf{0.52} $\pm$ 0.10,0.63 $\pm$ 0.22,\textbf{-1387.04} $\pm$ 360.66,1.00
Adult,FRPD-QUAD,\textbf{1.21} $\pm$ 0.66,\textbf{1.00} $\pm$ 0.00,\textbf{1.76} $\pm$ 0.88,\textbf{0.80} $\pm$ 0.21,\textbf{0.23} $\pm$ 0.20,\textbf{-174518.22} $\pm$ 21165.02,1.00
,DICE,1.72 $\pm$ 0.51,0.99 $\pm$ 0.10,\textbf{2.08} $\pm$ 0.55,0.87 $\pm$ 0.11,0.77 $\pm$ 0.49,\textbf{-191881.68} $\pm$ 21630.99,1.00
Bank,FRPD-QUAD,\textbf{1.13} $\pm$ 0.36,\textbf{1.00} $\pm$ 0.00,\textbf{1.66} $\pm$ 0.49,0.84 $\pm$ 0.10,\textbf{0.26} $\pm$ 0.15,\textbf{-6605.42} $\pm$ 668.22,1.00
,DICE,1.72 $\pm$ 0.27,\textbf{1.00} $\pm$ 0.00,\textbf{1.33} $\pm$ 0.75,\textbf{0.71} $\pm$ 0.26,0.43 $\pm$ 0.33,\textbf{-9246.30} $\pm$ 931.32,1.00
